Measurement report of dcv_sheet_input_powered,,,
Generated by DesCoVer 2.6.0,,,
Date,2016-12-14 09:46:38 -0600,Author,b48923
,,,
,,,
Testbench: LIB: esd_sm8mvLib - CELL: RB_black_box_characterization - VIEW: schematic_input_powered - Wed Dec 14 09:46:43 CST 2016,,,
,,,
,,,
amplitude,voltage,current,
-500,-6.65234,-9.62695,
-495,-6.6028,-9.52794,
-490,-6.55279,-9.42894,
-485,-6.50292,-9.32994,
-480,-6.45312,-9.23094,
-475,-6.40338,-9.13193,
-470,-6.35363,-9.03293,
-465,-6.30387,-8.93392,
-460,-6.2542,-8.83492,
-455,-6.20451,-8.73591,
-450,-6.15483,-8.6369,
-445,-6.10516,-8.5379,
-440,-6.05551,-8.43889,
-435,-6.00587,-8.33988,
-430,-5.95651,-8.24087,
-425,-5.90663,-8.14187,
-420,-5.85719,-8.04286,
-415,-5.80758,-7.94385,
-410,-5.75803,-7.84484,
-405,-5.70842,-7.74583,
-400,-5.65887,-7.64682,
-395,-5.60943,-7.54781,
-390,-5.55978,-7.4488,
-385,-5.51025,-7.34979,
-380,-5.46075,-7.25079,
-375,-5.41124,-7.15178,
-370,-5.36174,-7.05277,
-365,-5.31228,-6.95375,
-360,-5.2628,-6.85474,
-355,-5.21333,-6.75573,
-350,-5.16385,-6.65672,
-345,-5.11439,-6.55771,
-340,-5.06492,-6.4587,
-335,-5.01546,-6.35969,
-330,-4.966,-6.26068,
-325,-4.91666,-6.16167,
-320,-4.86717,-6.06266,
-315,-4.81771,-5.96365,
-310,-4.76819,-5.86464,
-305,-4.71874,-5.76563,
-300,-4.66928,-5.66661,
-295,-4.61995,-5.5676,
-290,-4.57047,-5.46859,
-285,-4.52097,-5.36958,
-280,-4.47146,-5.27057,
-275,-4.42192,-5.17156,
-270,-4.37233,-5.07255,
-265,-4.32268,-4.97355,
-260,-4.27305,-4.87454,
-255,-4.22326,-4.77553,
-250,-4.17361,-4.67653,
-245,-4.1238,-4.57752,
-240,-4.07388,-4.47852,
-235,-4.02406,-4.37952,
-230,-3.97412,-4.28052,
-225,-3.924,-4.18152,
-220,-3.87391,-4.08252,
-215,-3.82372,-3.98353,
-210,-3.77347,-3.88453,
-205,-3.72314,-3.78554,
-200,-3.67265,-3.68655,
-195,-3.622,-3.58756,
-190,-3.5713,-3.48857,
-185,-3.52036,-3.38959,
-180,-3.46922,-3.29062,
-175,-3.41793,-3.19164,
-170,-3.36623,-3.09268,
-165,-3.31429,-2.99371,
-160,-3.26186,-2.89476,
-155,-3.2088,-2.79582,
-150,-3.15485,-2.6969,
-145,-3.0997,-2.59801,
-140,-3.0429,-2.49914,
-135,-2.98403,-2.40032,
-130,-2.92259,-2.30155,
-125,-2.85815,-2.20284,
-120,-2.791,-2.10418,
-115,-2.72245,-2.00555,
-110,-2.6534,-1.90693,
-105,-2.58404,-1.80832,
-100,-2.51446,-1.70971,
-95,-2.44456,-1.61111,
-90,-2.37424,-1.51252,
-85,-2.30364,-1.41393,
-80,-2.2324,-1.31535,
-75,-2.1604,-1.21679,
-70,-2.08769,-1.11825,
-65,-2.01377,-1.01972,
-60,-1.9384,-0.921232,
-55,-1.86093,-0.822781,
