Measurement report of dcv_sheet_input_unpowered,,,
Generated by DesCoVer 2.6.0,,,
Date,2016-12-14 10:18:23 -0600,Author,b48923
,,,
,,,
Testbench: LIB: esd_sm8mvLib - CELL: RB_black_box_characterization - VIEW: schematic_input_unpowered - Wed Dec 14 10:18:35 CST 2016,,,
,,,
,,,
amplitude,voltage,current,
-500,-6.98252,-9.86035,
-495,-6.93259,-9.76135,
-490,-6.88264,-9.66235,
-485,-6.83271,-9.56335,
-480,-6.78284,-9.46434,
-475,-6.73294,-9.36534,
-470,-6.68306,-9.26634,
-465,-6.63315,-9.16734,
-460,-6.58332,-9.06833,
-455,-6.53347,-8.96933,
-450,-6.48364,-8.87033,
-445,-6.43384,-8.77132,
-440,-6.3841,-8.67232,
-435,-6.33433,-8.57331,
-430,-6.28458,-8.47431,
-425,-6.23486,-8.3753,
-420,-6.18515,-8.2763,
-415,-6.13544,-8.17729,
-410,-6.08574,-8.07829,
-405,-6.03607,-7.97928,
-400,-5.98642,-7.88027,
-395,-5.93676,-7.78126,
-390,-5.88712,-7.68226,
-385,-5.8375,-7.58325,
-380,-5.78788,-7.48424,
-375,-5.73827,-7.38523,
-370,-5.68868,-7.28623,
-365,-5.63912,-7.18722,
-360,-5.58957,-7.08821,
-355,-5.54003,-6.9892,
-350,-5.49052,-6.89019,
-345,-5.44098,-6.79118,
-340,-5.39153,-6.69217,
-335,-5.34196,-6.59316,
-330,-5.29242,-6.49415,
-325,-5.24289,-6.39514,
-320,-5.19331,-6.29613,
-315,-5.14368,-6.19713,
-310,-5.09413,-6.09812,
-305,-5.04455,-5.99911,
-300,-4.99513,-5.9001,
-295,-4.94545,-5.80109,
-290,-4.89592,-5.70208,
-285,-4.8464,-5.60307,
-280,-4.79689,-5.50406,
-275,-4.74737,-5.40505,
-270,-4.69788,-5.30604,
-265,-4.64837,-5.20703,
-260,-4.59884,-5.10802,
-255,-4.54925,-5.00902,
-250,-4.49962,-4.91001,
-245,-4.44996,-4.811,
-240,-4.40017,-4.712,
-235,-4.3504,-4.61299,
-230,-4.30061,-4.51399,
-225,-4.25078,-4.41498,
-220,-4.20091,-4.31598,
-215,-4.15099,-4.21698,
-210,-4.10102,-4.11798,
-205,-4.051,-4.01898,
-200,-4.00091,-3.91998,
-195,-3.95076,-3.82098,
-190,-3.90049,-3.72199,
-185,-3.85016,-3.623,
-180,-3.79973,-3.52401,
-175,-3.74921,-3.42502,
-170,-3.69857,-3.32603,
-165,-3.64768,-3.22705,
-160,-3.59676,-3.12806,
-155,-3.54568,-3.02909,
-150,-3.49442,-2.93011,
-145,-3.44303,-2.83114,
-140,-3.39127,-2.73217,
-135,-3.33922,-2.63322,
-130,-3.28682,-2.53426,
-125,-3.23393,-2.43532,
-120,-3.18049,-2.33639,
-115,-3.12626,-2.23747,
-110,-3.07102,-2.13858,
-105,-3.01446,-2.03971,
-100,-2.95608,-1.94088,
-95,-2.89591,-1.84208,
-90,-2.83353,-1.74333,
-85,-2.76848,-1.64463,
-80,-2.70112,-1.54598,
-75,-2.6322,-1.44736,
-70,-2.56239,-1.34875,
-65,-2.49234,-1.25015,
-60,-2.42175,-1.15156,
-55,-2.35065,-1.05299,
