Measurement report of dcv_sheet_output_powered,,,
Generated by DesCoVer 2.6.0,,,
Date,2016-12-14 10:36:53 -0600,Author,b48923
,,,
,,,
Testbench: LIB: esd_sm8mvLib - CELL: RB_black_box_characterization - VIEW: schematic_output_powered - Wed Dec 14 10:37:02 CST 2016,,,
,,,
,,,
amplitude,voltage,current,
-200,-36.3626,-3.27275,
-195,-35.4712,-3.19058,
-190,-34.5799,-3.1084,
-185,-33.6884,-3.02623,
-180,-32.797,-2.94406,
-175,-31.9056,-2.86189,
-170,-31.0141,-2.77972,
-165,-30.1226,-2.69755,
-160,-29.2312,-2.61538,
-155,-28.3398,-2.5332,
-150,-27.4483,-2.45103,
-145,-26.5568,-2.36886,
-140,-25.6653,-2.28669,
-135,-24.7741,-2.20452,
-130,-23.8836,-2.12233,
-125,-22.9937,-2.04013,
-120,-22.104,-1.95792,
-115,-21.2134,-1.87573,
-110,-20.3216,-1.79357,
-105,-19.4297,-1.71141,
-100,-18.5385,-1.62923,
-95,-17.6483,-1.54703,
-90,-16.7583,-1.46483,
-85,-15.8681,-1.38264,
-80,-14.9768,-1.30046,
-75,-14.0859,-1.21828,
-70,-13.1958,-1.13608,
-65,-12.3059,-1.05388,
-60,-11.4138,-0.971724,
-55,-10.5212,-0.889577,
-50,-9.62822,-0.807436,
-45,-8.73503,-0.725299,
-40,-7.84156,-0.643169,
-35,-6.94775,-0.561045,
-30,-6.05345,-0.478931,
-25,-5.15832,-0.396834,
-20,-4.26289,-0.314742,
-15,-3.36401,-0.23272,
-10,-2.45834,-0.150833,
-5,-1.47052,-0.0705895,
0,2.09531,-0.0419062,
5,5.96962,-0.0193924,
10,9.84389,0.00312228,
15,11.652,0.0669607,
20,12.7238,0.145524,
25,13.5866,0.228267,
30,14.4367,0.311266,
35,15.2818,0.394365,
40,16.1242,0.477516,
45,16.965,0.560701,
50,17.8046,0.643909,
55,18.6433,0.727134,
60,19.4814,0.810372,
65,20.3189,0.893622,
70,21.156,0.97688,
75,21.9928,1.06014,
80,22.8292,1.14342,
85,23.6654,1.22669,
90,24.5016,1.30997,
95,25.3377,1.39325,
100,26.1737,1.47653,
105,27.0098,1.5598,
110,27.8458,1.64308,
115,28.6818,1.72636,
120,29.5177,1.80965,
125,30.3536,1.89293,
130,31.1895,1.97621,
135,32.0253,2.05949,
140,32.8611,2.14278,
145,33.6969,2.22606,
150,34.5326,2.30935,
155,35.3683,2.39263,
160,36.2039,2.47592,
165,37.0396,2.55921,
170,37.8751,2.6425,
175,38.7106,2.72579,
180,39.5461,2.80908,
185,40.3816,2.89237,
190,41.217,2.97566,
195,42.0523,3.05895,
200,42.8877,3.14225,
