Measurement report of dcv_sheet_output_unpowered,,,
Generated by DesCoVer 2.6.0,,,
Date,2016-12-14 10:42:11 -0600,Author,b48923
,,,
,,,
Testbench: LIB: esd_sm8mvLib - CELL: RB_black_box_characterization - VIEW: schematic_output_unpowered - Wed Dec 14 10:42:16 CST 2016,,,
,,,
,,,
amplitude,voltage,current,
-200,-36.4817,-3.27037,
-195,-35.5893,-3.18821,
-190,-34.6969,-3.10606,
-185,-33.8044,-3.02391,
-180,-32.912,-2.94176,
-175,-32.0195,-2.85961,
-170,-31.127,-2.77746,
-165,-30.2345,-2.69531,
-160,-29.3419,-2.61316,
-155,-28.4493,-2.53101,
-150,-27.5567,-2.44887,
-145,-26.6641,-2.36672,
-140,-25.7714,-2.28457,
-135,-24.8788,-2.20242,
-130,-23.986,-2.12028,
-125,-23.0933,-2.03813,
-120,-22.2005,-1.95599,
-115,-21.3077,-1.87385,
-110,-20.4149,-1.7917,
-105,-19.5221,-1.70956,
-100,-18.6292,-1.62742,
-95,-17.7363,-1.54527,
-90,-16.8434,-1.46313,
-85,-15.9504,-1.38099,
-80,-15.0574,-1.29885,
-75,-14.1643,-1.21671,
-70,-13.2711,-1.13458,
-65,-12.3778,-1.05244,
-60,-11.4843,-0.970315,
-55,-10.5906,-0.888187,
-50,-9.69685,-0.806063,
-45,-8.80283,-0.723943,
-40,-7.90849,-0.64183,
-35,-7.01381,-0.559724,
-30,-6.11868,-0.477626,
-25,-5.22289,-0.395542,
-20,-4.32614,-0.313477,
-15,-3.42782,-0.231444,
-10,-2.5265,-0.14947,
-5,-1.6168,-0.067664,
0,1.10503E-028,-2.21007E-030,
5,2.05085,0.058983,
10,2.94657,0.141069,
15,3.80913,0.223817,
20,4.66226,0.306755,
25,5.51106,0.389779,
30,6.35731,0.472854,
35,7.20201,0.55596,
40,8.04562,0.639088,
45,8.88814,0.722237,
50,9.73012,0.805398,
55,10.5716,0.888568,
60,11.4125,0.97175,
65,12.2531,1.05494,
70,13.0935,1.13813,
75,13.9337,1.22133,
80,14.7736,1.30453,
85,15.6134,1.38773,
90,16.4534,1.47093,
95,17.293,1.55414,
100,18.1327,1.63735,
105,18.9722,1.72056,
110,19.8115,1.80377,
115,20.651,1.88698,
120,21.4902,1.9702,
125,22.329,2.05342,
130,23.1681,2.13664,
135,24.0073,2.21985,
140,24.8463,2.30307,
145,25.6856,2.38629,
150,26.5239,2.46952,
155,27.3628,2.55274,
160,28.2023,2.63595,
165,29.0405,2.71919,
170,29.8794,2.80241,
175,30.7182,2.88564,
180,31.5573,2.96885,
185,32.3958,3.05208,
190,33.2349,3.1353,
195,34.0733,3.21853,
200,34.912,3.30176,
