time	V_out_model
0	0.0895522
3.91E-08	0.124611
4.01E-08	0.125472
4.11E-08	0.126333
4.21E-08	0.127192
4.31E-08	0.128051
4.41E-08	0.128908
4.51E-08	0.129765
4.61E-08	0.130621
4.71E-08	0.131476
4.81E-08	0.13233
4.91E-08	0.133184
5.01E-08	0.134036
5.11E-08	0.134888
5.21E-08	0.135739
5.31E-08	0.136589
5.41E-08	0.137438
5.51E-08	0.138287
5.61E-08	0.139134
5.71E-08	0.139981
5.81E-08	0.140827
5.91E-08	0.141672
6.01E-08	0.142516
6.11E-08	0.14336
6.21E-08	0.144203
6.31E-08	0.145044
6.41E-08	0.145885
6.51E-08	0.146725
6.61E-08	0.147565
6.71E-08	0.148403
6.81E-08	0.149241
6.91E-08	0.150078
7.01E-08	0.150914
7.11E-08	0.151749
7.21E-08	0.152583
7.31E-08	0.153417
7.41E-08	0.154249
7.51E-08	0.155081
7.61E-08	0.155912
7.71E-08	0.156742
7.81E-08	0.157572
7.91E-08	0.158401
8.01E-08	0.159228
8.11E-08	0.160055
8.21E-08	0.160881
8.31E-08	0.161707
8.41E-08	0.162531
8.51E-08	0.163355
8.61E-08	0.164178
8.71E-08	0.165
8.81E-08	0.165822
8.91E-08	0.166642
9.01E-08	0.167462
9.11E-08	0.168281
9.21E-08	0.169099
9.31E-08	0.169916
9.41E-08	0.170732
9.51E-08	0.171548
9.61E-08	0.172363
9.71E-08	0.173177
9.81E-08	0.17399
9.91E-08	0.174803
1.00E-07	0.175614
1.01E-07	0.176425
1.02E-07	0.177235
1.03E-07	0.178045
1.04E-07	0.178853
1.05E-07	0.179661
1.06E-07	0.180468
1.07E-07	0.181274
1.08E-07	0.182079
1.09E-07	0.182884
1.10E-07	0.183687
1.11E-07	0.18449
1.12E-07	0.185292
1.13E-07	0.186094
1.14E-07	0.186894
1.15E-07	0.187694
1.16E-07	0.188493
1.17E-07	0.189291
1.18E-07	0.190089
1.19E-07	0.190885
1.20E-07	0.191681
1.21E-07	0.192476
1.22E-07	0.193271
1.23E-07	0.194064
1.24E-07	0.194857
1.25E-07	0.195649
1.26E-07	0.19644
1.27E-07	0.19723
1.28E-07	0.19802
1.29E-07	0.198809
1.30E-07	0.199597
1.31E-07	0.200384
1.32E-07	0.201171
1.33E-07	0.201956
1.34E-07	0.202741
1.35E-07	0.203525
1.36E-07	0.204309
1.37E-07	0.205092
1.38E-07	0.205873
1.39E-07	0.206655
1.40E-07	0.207435
1.41E-07	0.208214
1.42E-07	0.208993
1.43E-07	0.209771
1.44E-07	0.210549
1.45E-07	0.211325
1.46E-07	0.212101
1.47E-07	0.212876
1.48E-07	0.21365
1.49E-07	0.214423
1.50E-07	0.215196
1.51E-07	0.215968
1.52E-07	0.216739
1.53E-07	0.21751
1.54E-07	0.218279
1.55E-07	0.219048
1.56E-07	0.219816
1.57E-07	0.220584
1.58E-07	0.22135
1.59E-07	0.222116
