time	V_out_model
0	2.5
0.00000008	2.5
0.00000024	2.5
2.91E-07	2.5
0.000000394	2.5
5.99E-07	2.5
1.01E-06	2.5
1.83E-06	2.5
3.43E-06	2.5
5.03E-06	2.5
6.63E-06	2.5
8.23E-06	2.5
9.83E-06	2.5
1.14E-05	2.5
1.30E-05	2.5
1.46E-05	2.5
1.62E-05	2.5
1.78E-05	2.5
1.94E-05	2.5
2.10E-05	2.5
2.26E-05	2.5
2.42E-05	2.5
2.58E-05	2.5
2.74E-05	2.5
2.90E-05	2.5
3.06E-05	2.5
3.22E-05	2.5
3.38E-05	2.5
3.54E-05	2.5
3.70E-05	2.5
3.86E-05	2.5
0.00004	2.5
0.00004	2.48832
4.00E-05	2.46497
4.00E-05	2.41827
4.00E-05	2.32487
4.00E-05	2.13807
4.00E-05	1.76447
4.00E-05	1.39087
4.00E-05	1.24544
0.000040003	1.1
0.000040003	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.00E-05	1.1
4.01E-05	1.1
4.01E-05	1.1
4.02E-05	1.1
4.04E-05	1.1
4.08E-05	1.1
4.16E-05	1.1
4.32E-05	1.1
4.48E-05	1.1
4.64E-05	1.1
4.80E-05	1.1
4.96E-05	1.1
5.12E-05	1.1
5.28E-05	1.1
5.44E-05	1.1
5.60E-05	1.1
5.76E-05	1.1
5.92E-05	1.1
6.08E-05	1.1
6.24E-05	1.1
6.40E-05	1.1
6.56E-05	1.1
6.72E-05	1.1
6.88E-05	1.1
7.04E-05	1.1
7.20E-05	1.1
0.000073003	1.1
0.000073003	1.11168
7.30E-05	1.13503
7.30E-05	1.18173
7.30E-05	1.27513
7.30E-05	1.46193
7.30E-05	1.83553
0.000073006	2.5
7.30E-05	2.5
7.30E-05	2.5
7.30E-05	2.5
7.30E-05	2.5
7.30E-05	2.5
7.30E-05	2.5
7.30E-05	2.5
7.30E-05	2.5
7.31E-05	2.5
0.000073094	2.5
7.32E-05	2.5
7.34E-05	2.5
7.37E-05	2.5
7.44E-05	2.5
7.58E-05	2.5
7.74E-05	2.5
7.87E-05	2.5
0.00008	2.5
