time	V_out_total
0	0
5.80E-11	1.32E-09
1.16E-10	4.35E-09
2.66E-10	1.86E-08
5.09E-10	7.03E-08
0.000000001	2.52E-07
1.66E-09	7.37E-07
2.70E-09	1.73E-06
4.17E-09	3.40E-06
6.24E-09	5.93E-06
9.27E-09	9.62E-06
1.37E-08	0.000014809
0.00000002	2.17E-05
2.88E-08	3.06E-05
4.08E-08	4.13E-05
5.67E-08	5.37E-05
7.67E-08	0.000066958
1.02E-07	8.14E-05
1.33E-07	9.71E-05
0.000000171	0.000114847
0.000000217	0.000134648
2.76E-07	0.00015858
3.34E-07	0.000180179
0.000000354	0.000187485
3.74E-07	0.000194657
4.20E-07	0.000215972
0.000000453	0.000249602
0.00000046	0.000261595
4.66E-07	0.000272295
0.000000473	0.000286365
4.80E-07	0.00030219
4.86E-07	0.000315424
4.91E-07	0.000330303
4.97E-07	0.000345374
5.03E-07	0.00036227
5.10E-07	0.000383428
5.18E-07	0.000407803
5.27E-07	0.000435358
5.35E-07	0.000463652
5.46E-07	0.000502369
5.59E-07	0.000545659
5.70E-07	0.000590517
5.80E-07	0.000631587
5.93E-07	0.000683343
6.05E-07	0.000733865
6.20E-07	0.000793959
6.38E-07	0.000864692
6.55E-07	0.000930027
6.77E-07	0.00101203
6.99E-07	0.00108727
7.05E-07	0.00110906
7.12E-07	0.00112805
7.25E-07	0.00116159
7.38E-07	0.00119095
7.50E-07	0.00122124
7.65E-07	0.00125965
7.78E-07	0.00129821
7.93E-07	0.00134436
0.000000811	0.0013965
8.29E-07	0.00144886
8.52E-07	0.00151927
8.84E-07	0.00163113
9.22E-07	0.00184587
9.61E-07	0.00221025
0.000001	0.00278804
1.01E-06	0.00289229
1.01E-06	0.00299757
1.03E-06	0.00334569
1.05E-06	0.00369413
0.000001084	0.00439788
1.13E-06	0.00546916
1.20E-06	0.00708956
0.000001253	0.00831322
1.30E-06	0.00964691
1.35E-06	0.0110815
1.40E-06	0.0125571
0.000001452	0.0141135
1.51E-06	0.0159612
1.57E-06	0.0180833
1.63E-06	0.02054
1.69E-06	0.0226601
1.75E-06	0.0253028
1.81E-06	0.0280601
0.000001881	0.0312808
1.96E-06	0.0352199
2.07E-06	0.0410751
2.22E-06	0.048946
0.000002355	0.0573425
0.000002497	0.0663774
2.69E-06	0.0786435
2.92E-06	0.0928121
3.15E-06	0.105975
3.47E-06	0.12237
3.89E-06	0.141059
4.46E-06	0.161136
4.66E-06	0.166412
4.71E-06	0.167691
