Measurement report of XXX,,,,
Generated by XXXX,,,,
Date,XXXX,
,,,,
,,,,
Testbench: XXX,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.1,0.0000001,2.50308,2.46319,1.458E-007
-0.1,1.1721E-007,2.50308,2.45883,1.47312E-007
-0.1,1.37382E-007,2.50308,2.4543,1.52668E-007
-0.1,0.000000161,2.50308,2.44907,1.49165E-007
-0.1,1.88739E-007,2.50308,2.44365,1.51603E-007
-0.1,2.21222E-007,2.50308,2.43833,1.52773E-007
-0.1,2.59294E-007,2.50308,2.43275,1.5415E-007
-0.1,3.0392E-007,2.50308,2.42641,1.56551E-007
-0.1,3.56225E-007,2.50308,2.41904,1.6046E-007
-0.1,4.17532E-007,2.50308,2.41071,1.66717E-007
-0.1,4.8939E-007,2.50308,2.40074,1.73833E-007
-0.1,5.73615E-007,2.50308,2.38905,1.83076E-007
-0.1,6.72336E-007,2.50308,2.37514,1.91599E-007
-0.1,0.000000788,2.50308,2.35854,0.000000201
-0.1,9.23671E-007,2.50308,2.33948,2.17454E-007
-0.1,1.08264E-006,2.50308,2.31661,2.33188E-007
-0.1,0.000001269,2.50308,2.29038,2.51557E-007
-0.1,1.48735E-006,2.50308,2.26129,2.72667E-007
-0.1,1.74333E-006,2.50308,2.2308,3.03845E-007
-0.1,2.04336E-006,2.50308,2.22317,5.14776E-007
-0.1,0.000002395,2.50308,2.22317,8.63239E-007
-0.1,2.80722E-006,2.50308,2.22317,1.27019E-006
-0.1,3.29034E-006,2.50308,2.22317,0.000001739
-0.1,3.85662E-006,2.50308,2.22317,2.29073E-006
-0.1,4.52035E-006,2.50308,2.22317,2.94087E-006
-0.1,5.29832E-006,2.50308,2.22317,3.70625E-006
-0.1,6.21017E-006,2.50308,2.22317,4.61056E-006
-0.1,0.000007279,2.50308,2.22317,5.67687E-006
-0.1,8.53168E-006,2.50308,2.22317,-6.71626E-006
-0.1,0.00001,2.50308,2.22317,-6.71626E-006
-0.2,0.0000001,2.50308,2.45209,1.54264E-007
-0.2,1.1721E-007,2.50308,2.44805,1.56558E-007
-0.2,1.37382E-007,2.50308,2.44386,1.56345E-007
-0.2,0.000000161,2.50308,2.43984,0.000000161
-0.2,1.88739E-007,2.50308,2.43558,1.6115E-007
-0.2,2.21222E-007,2.50308,2.43053,1.62121E-007
-0.2,2.59294E-007,2.50308,2.42505,1.64645E-007
-0.2,3.0392E-007,2.50308,2.41853,1.66892E-007
-0.2,3.56225E-007,2.50308,2.41133,1.75464E-007
-0.2,4.17532E-007,2.50308,2.40242,1.78512E-007
-0.2,4.8939E-007,2.50308,2.39284,1.8962E-007
-0.2,5.73615E-007,2.50308,2.38124,1.97217E-007
-0.2,6.72336E-007,2.50308,2.36769,2.07504E-007
-0.2,0.000000788,2.50308,2.35163,2.18565E-007
-0.2,9.23671E-007,2.50308,2.33269,2.31596E-007
-0.2,1.08264E-006,2.50308,2.31022,2.49648E-007
-0.2,0.000001269,2.50308,2.28359,2.68576E-007
-0.2,1.48735E-006,2.50308,2.25219,2.93701E-007
