Measurement report of dcv_sheet_cz_regu_v2,,,,
Generated by DesCoVer 2.6.0,,,,
Date,2016-11-22 03:08:58 -0600,Author,b48923,
,,,,
,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_cz_regu - Tue Nov 22 03:09:07 CST 2016,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=100p start=12u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s)
-0.1,0.0000001,2.5032,2.46312,1.47214E-007
-0.1,1.1721E-007,2.5032,2.45876,1.47698E-007
-0.1,1.37382E-007,2.5032,2.45418,0.000000152
-0.1,0.000000161,2.5032,2.44907,1.49897E-007
-0.1,1.88739E-007,2.5032,2.44374,1.51628E-007
-0.1,2.21222E-007,2.5032,2.43817,1.50327E-007
-0.1,2.59294E-007,2.5032,2.43257,1.53454E-007
-0.1,3.0392E-007,2.5032,2.42648,0.00000016
-0.1,3.56225E-007,2.5032,2.41915,1.62498E-007
-0.1,4.17532E-007,2.5032,2.41056,1.66111E-007
-0.1,4.8939E-007,2.5032,2.40069,1.74158E-007
-0.1,5.73615E-007,2.5032,2.38872,1.80873E-007
-0.1,6.72336E-007,2.5032,2.37511,0.000000192
-0.1,0.000000788,2.5032,2.35863,0.000000202
-0.1,9.23671E-007,2.5032,2.33935,2.16566E-007
-0.1,1.08264E-006,2.5032,2.31662,2.34804E-007
-0.1,0.000001269,2.5032,2.29035,0.000000251
-0.1,1.48735E-006,2.5032,2.26084,2.70108E-007
-0.1,1.74333E-006,2.5032,2.23071,3.0373E-007
-0.1,2.04336E-006,2.5032,2.22307,5.14807E-007
-0.1,0.000002395,2.5032,2.22307,8.63578E-007
-0.1,2.80722E-006,2.5032,2.22307,1.27075E-006
-0.1,3.29034E-006,2.5032,2.22307,1.73914E-006
-0.1,3.85662E-006,2.5032,2.22307,2.29087E-006
-0.1,4.52035E-006,2.5032,2.22307,2.94072E-006
-0.1,5.29832E-006,2.5032,2.22307,3.70583E-006
-0.1,6.21017E-006,2.5032,2.22307,4.60934E-006
-0.1,0.000007279,2.5032,2.22307,5.67643E-006
-0.1,8.53168E-006,2.5032,2.22307,6.92894E-006
-0.1,0.00001,2.5032,2.22307,8.39733E-006
-0.2,0.0000001,2.5032,2.45202,1.54584E-007
-0.2,1.1721E-007,2.5032,2.44799,1.56167E-007
-0.2,1.37382E-007,2.5032,2.44393,1.58603E-007
-0.2,0.000000161,2.5032,2.43976,1.61269E-007
-0.2,1.88739E-007,2.5032,2.43551,1.61287E-007
-0.2,2.21222E-007,2.5032,2.43047,1.62094E-007
-0.2,2.59294E-007,2.5032,2.42499,1.65856E-007
-0.2,3.0392E-007,2.5032,2.41859,1.70054E-007
-0.2,3.56225E-007,2.5032,2.41127,1.75664E-007
-0.2,4.17532E-007,2.5032,2.40269,1.81916E-007
-0.2,4.8939E-007,2.5032,2.39278,1.89754E-007
-0.2,5.73615E-007,2.5032,2.3813,1.98746E-007
-0.2,6.72336E-007,2.5032,2.36734,2.05334E-007
-0.2,0.000000788,2.5032,2.35118,2.16898E-007
