Measurement report of dcv_sheet_cz_regu_v2,,,,,
Generated by DesCoVer 2.6.0,,,,,
Date,2016-11-25 03:17:25 -0600,Author,b48923,,
,,,,,
,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_cz_regu - Fri Nov 25 03:17:30 CST 2016,,,,,
,,,,,
,,,,,
Setup: Parameters or device casing alteration,,,,,
Err:510,,,,,
risetime=100p start=12u ,,,,,
,,,,,
,,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s),input_amplitude
-0.1,0.0000001,2.50321,2.46315,1.49618E-007,0.951048
-0.1,1.1721E-007,2.50321,2.45887,1.50348E-007,0.951048
-0.1,1.37382E-007,2.50321,2.45413,1.51381E-007,0.951048
-0.1,0.000000161,2.50321,2.44913,1.52475E-007,0.951048
-0.1,1.88739E-007,2.50321,2.44386,0.000000154,0.951048
-0.1,2.21222E-007,2.50321,2.43854,1.54623E-007,0.951048
-0.1,2.59294E-007,2.50321,2.43292,1.56196E-007,0.951048
-0.1,3.0392E-007,2.50321,2.42668,1.59825E-007,0.951048
-0.1,3.56225E-007,2.50321,2.41945,1.6367E-007,0.951048
-0.1,4.17532E-007,2.50321,2.41094,1.69457E-007,0.951048
-0.1,4.8939E-007,2.50321,2.40104,1.75457E-007,0.951048
-0.1,5.73615E-007,2.50321,2.38934,1.83822E-007,0.951048
-0.1,6.72336E-007,2.50321,2.37534,1.9268E-007,0.951048
-0.1,0.000000788,2.50321,2.35906,0.000000205,0.951048
-0.1,9.23671E-007,2.50321,2.33973,2.196E-007,0.951048
-0.1,1.08264E-006,2.50321,2.31707,2.36509E-007,0.951048
-0.1,0.000001269,2.50321,2.29106,2.57159E-007,0.951048
-0.1,1.48735E-006,2.50321,2.2616,0.000000276,0.951048
-0.1,1.74333E-006,2.50321,2.231,3.06308E-007,0.951048
-0.1,2.04336E-006,2.50321,2.22273,5.10886E-007,0.951048
-0.1,0.000002395,2.50321,2.22273,8.58617E-007,0.951048
-0.1,2.80722E-006,2.50321,2.22273,1.26571E-006,0.951048
-0.1,3.29034E-006,2.50321,2.22273,1.73389E-006,0.951048
-0.1,3.85662E-006,2.50321,2.22273,2.28492E-006,0.951048
-0.1,4.52035E-006,2.50321,2.22273,2.93453E-006,0.951048
-0.1,5.29832E-006,2.50321,2.22273,0.000003699,0.951048
-0.1,6.21017E-006,2.50321,2.22273,4.60277E-006,0.951048
-0.1,0.000007279,2.50321,2.22273,5.66962E-006,0.951048
-0.1,8.53168E-006,2.50321,2.22273,0.000006922,0.951048
-0.1,0.00001,2.50321,2.22273,8.39035E-006,0.951048
-0.2,0.0000001,2.50321,2.45216,1.57764E-007,0.904145
-0.2,1.1721E-007,2.50321,2.44802,1.58935E-007,0.904145
-0.2,1.37382E-007,2.50321,2.44407,0.000000161,0.904145
-0.2,0.000000161,2.50321,2.44013,1.62841E-007,0.904145
-0.2,1.88739E-007,2.50321,2.43587,1.65402E-007,0.904145
-0.2,2.21222E-007,2.50321,2.431,1.67647E-007,0.904145
-0.2,2.59294E-007,2.50321,2.42547,1.71827E-007,0.904145
-0.2,3.0392E-007,2.50321,2.41904,1.74488E-007,0.904145
