Measurement report of dcv_sheet_cz_regu_v2,,,,,
Generated by DesCoVer 2.6.0,,,,,
Date,2016-11-25 04:56:16 -0600,Author,b48923,,
,,,,,
,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic_cz_regu - Fri Nov 25 04:56:18 CST 2016,,,,,
,,,,,
,,,,,
Setup: Parameters or device casing alteration,,,,,
Err:510,,,,,
risetime=100p start=12u th=0.5 ,,,,,
,,,,,
,,,,,
amplitude,length,nominal,min_v2p5,width_2p5(s),input_amplitude
-0.1,0.0000001,2.50321,2.46315,0.000000413,0.951048
-0.1,1.1721E-007,2.50321,2.45887,0.000000421,0.951048
-0.1,1.37382E-007,2.50321,2.45413,0.000000431,0.951048
-0.1,0.000000161,2.50321,2.44913,4.43874E-007,0.951048
-0.1,1.88739E-007,2.50321,2.44386,0.000000459,0.951048
-0.1,2.21222E-007,2.50321,2.43854,4.78736E-007,0.951048
-0.1,2.59294E-007,2.50321,2.43292,4.96616E-007,0.951048
-0.1,3.0392E-007,2.50321,2.42668,5.19771E-007,0.951048
-0.1,3.56225E-007,2.50321,2.41945,5.45946E-007,0.951048
-0.1,4.17532E-007,2.50321,2.41094,5.76432E-007,0.951048
-0.1,4.8939E-007,2.50321,2.40104,6.116E-007,0.951048
-0.1,5.73615E-007,2.50321,2.38934,6.5413E-007,0.951048
-0.1,6.72336E-007,2.50321,2.37534,7.03388E-007,0.951048
-0.1,0.000000788,2.50321,2.35906,7.64835E-007,0.951048
-0.1,9.23671E-007,2.50321,2.33973,8.36912E-007,0.951048
-0.1,1.08264E-006,2.50321,2.31707,9.29082E-007,0.951048
-0.1,0.000001269,2.50321,2.29106,1.04232E-006,0.951048
-0.1,1.48735E-006,2.50321,2.2616,1.17318E-006,0.951048
-0.1,1.74333E-006,2.50321,2.231,1.32331E-006,0.951048
-0.1,2.04336E-006,2.50321,2.22273,1.56963E-006,0.951048
-0.1,0.000002395,2.50321,2.22273,1.9272E-006,0.951048
-0.1,2.80722E-006,2.50321,2.22273,2.34143E-006,0.951048
-0.1,3.29034E-006,2.50321,2.22273,2.81444E-006,0.951048
-0.1,3.85662E-006,2.50321,2.22273,3.36982E-006,0.951048
-0.1,4.52035E-006,2.50321,2.22273,4.02416E-006,0.951048
-0.1,5.29832E-006,2.50321,2.22273,4.7959E-006,0.951048
-0.1,6.21017E-006,2.50321,2.22273,5.70465E-006,0.951048
-0.1,0.000007279,2.50321,2.22273,6.77236E-006,0.951048
-0.1,8.53168E-006,2.50321,2.22273,8.02479E-006,0.951048
-0.1,0.00001,2.50321,2.22273,9.49315E-006,0.951048
-0.2,0.0000001,2.50321,2.45216,4.52643E-007,0.904145
-0.2,1.1721E-007,2.50321,2.44802,4.63903E-007,0.904145
-0.2,1.37382E-007,2.50321,2.44407,4.80183E-007,0.904145
-0.2,0.000000161,2.50321,2.44013,4.96258E-007,0.904145
-0.2,1.88739E-007,2.50321,2.43587,5.13457E-007,0.904145
-0.2,2.21222E-007,2.50321,2.431,5.32625E-007,0.904145
-0.2,2.59294E-007,2.50321,2.42547,5.54389E-007,0.904145
