Measurement report of dcv_sheet_cz_vpre_v2,,,,,
Generated by DesCoVer 2.6.0,,,,,
Date,2016-11-24 10:47:01 -0600,Author,b48923,,
,,,,,
,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic2 - Thu Nov 24 10:47:03 CST 2016,,,,,
,,,,,
,,,,,
Setup: Parameters or device casing alteration,,,,,
Err:510,,,,,
risetime=300p start=5u load=1M ,,,,,
,,,,,
,,,,,
Setup: Parameters or device casing alteration,,,,,
Err:510,,,,,
delay=5u ,,,,,
,,,,,
,,,,,
amplitude,length,nominal,min_vclamp9,width(s),input_amplitude
-1,0.000000001,8.0217,7.24475,7.26712E-010,10.9899
-1,1.26896E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,1.61026E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,0.000000002,8.0217,7.24475,7.26712E-010,10.9899
-1,2.59294E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,3.29034E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,4.17532E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,5.29832E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,6.72336E-009,8.0217,7.24475,7.26712E-010,10.9899
-1,8.53168E-009,8.0217,7.24475,1.56838E-008,10.9899
-1,1.08264E-008,8.0217,7.24475,1.83417E-008,10.9899
-1,1.37382E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,1.74333E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,2.21222E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,2.80722E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,3.56225E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,4.52035E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,5.73615E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,7.27895E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,9.23671E-008,8.0217,7.24475,7.26712E-010,10.9899
-1,1.1721E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,1.48735E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,1.88739E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,2.39503E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,3.0392E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,3.85662E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,4.8939E-007,8.0217,7.24475,7.26712E-010,10.9899
-1,0.000000621,8.0217,7.24475,7.26712E-010,10.9899
-1,0.000000788,8.0217,7.24475,7.26712E-010,10.9899
-1,0.000001,8.0217,7.24475,7.26712E-010,10.9899
-3,0.000000001,8.0217,5.6755,8.54053E-010,9.01566
-3,1.26896E-009,8.0217,5.6755,8.54848E-010,9.01566
-3,1.61026E-009,8.0217,5.6755,8.54848E-010,9.01566
-3,0.000000002,8.0217,5.6755,8.54848E-010,9.01566
-3,2.59294E-009,8.0217,5.6755,8.54848E-010,9.01566
-3,3.29034E-009,8.0217,5.6755,8.54848E-010,9.01566
-3,4.17532E-009,8.0217,5.6755,8.54848E-010,9.01566
-3,5.29832E-009,8.0217,5.6755,8.54848E-010,9.01566
