Measurement report of dcv_sheet_cz_vpre_v2,,,,
Generated by DesCoVer 2.6.0,,,,
Date,2017-03-03 08:47:22 -0600,Author,b48923,
,,,,
,,,,
Testbench: LIB: esd_sm8mvLib - CELL: wunchbell_patrice - VIEW: schematic2 - Fri Mar 03 08:47:24 CST 2017,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
risetime=300p start=5u load=1M th=0.1 ,,,,
,,,,
,,,,
Setup: Parameters or device casing alteration,,,,
Err:510,,,,
delay=5u ,,,,
,,,,
,,,,
amplitude,length,nominal,min_vclamp9,width(s)
-2,0.00000001,8.02158,6.57512,2.85072E-008
-2,1.1721E-008,8.02158,6.50112,3.17159E-008
-2,1.37382E-008,8.02158,6.39678,3.45037E-008
-2,1.61026E-008,8.02158,6.40432,3.69229E-008
-2,1.88739E-008,8.02158,6.48669,3.9318E-008
-2,2.21222E-008,8.02158,6.56572,4.22828E-008
-2,2.59294E-008,8.02158,6.57512,4.5671E-008
-2,3.0392E-008,8.02158,6.57512,4.98288E-008
-2,3.56225E-008,8.02158,6.57512,5.42764E-008
-2,4.17532E-008,8.02158,6.57512,5.96329E-008
-2,4.8939E-008,8.02158,6.57512,6.6182E-008
-2,5.73615E-008,8.02158,6.57512,7.37375E-008
-2,6.72336E-008,8.02158,6.57512,0.000000083
-2,7.88046E-008,8.02158,6.57512,9.3427E-008
-2,9.23671E-008,8.02158,6.57512,1.06093E-007
-2,1.08264E-007,8.02158,6.57512,1.21373E-007
-2,1.26896E-007,8.02158,6.57512,1.39203E-007
-2,1.48735E-007,8.02158,6.57512,1.60094E-007
-2,1.74333E-007,8.02158,6.57512,1.85522E-007
-2,2.04336E-007,8.02158,6.57512,2.1506E-007
-2,2.39503E-007,8.02158,6.57512,2.5006E-007
-2,2.80722E-007,8.02158,6.57512,2.91126E-007
-2,0.000000329,8.02158,6.57512,3.3934E-007
-2,3.85662E-007,8.02158,6.57512,3.95914E-007
-2,0.000000452,8.02158,6.57512,4.6226E-007
-2,5.29832E-007,8.02158,6.57512,0.00000054
-2,0.000000621,8.02158,6.57512,6.31228E-007
-2,7.27895E-007,8.02158,6.57512,7.38107E-007
-2,8.53168E-007,8.02158,6.57512,8.63379E-007
-2,0.000001,8.02158,6.57512,1.01021E-006
-4,0.00000001,8.02158,5.06825,2.82229E-008
-4,1.1721E-008,8.02158,5.06825,3.09126E-008
-4,1.37382E-008,8.02158,5.06825,3.36695E-008
-4,1.61026E-008,8.02158,5.06825,3.65283E-008
-4,1.88739E-008,8.02158,5.06825,4.01925E-008
-4,2.21222E-008,8.02158,5.06825,4.36691E-008
-4,2.59294E-008,8.02158,5.06825,4.71916E-008
-4,3.0392E-008,8.02158,5.06825,5.15717E-008
-4,3.56225E-008,8.02158,5.06825,5.57216E-008
-4,4.17532E-008,8.02158,5.06825,5.96245E-008
-4,4.8939E-008,8.02158,5.06825,6.41029E-008
-4,5.73615E-008,8.02158,5.06825,0.00000007
-4,6.72336E-008,8.02158,5.06825,0.000000077
-4,7.88046E-008,8.02158,5.06825,0.000000079
-4,9.23671E-008,8.02158,5.06825,8.06565E-008
