time v(/en) v(/clk) v(/rstb) v(/serial_out) v(/net97) v(/en_out)
0.0 1.78866325925053e-23 1.43093060739764e-22 1.43093060739764e-22 1.18800096144219 1.57998904340695e-08 1.57998904607766e-08
1.5e-06 1.78915243006707e-23 1.43075502343293e-22 1.56929636410623e-22 1.18800079407069 1.58009815621326e-08 1.58009815802082e-08
4.5e-06 1.77782458039097e-23 1.42035235689841e-22 1.71458621191105e-22 1.18800046046615 1.5800600563195e-08 1.58006005923347e-08
1.05e-05 1.78494953545484e-23 1.4272794555131e-22 1.94208372528043e-22 1.18799979552035 1.58001037846501e-08 1.58001038125533e-08
2.25e-05 1.78811540027331e-23 1.43042557212039e-22 2.03550919700525e-22 1.18799847911755 1.57998798640912e-08 1.57998798914235e-08
3.625e-05 1.78807413027564e-23 1.43032586928443e-22 2.01211721646978e-22 1.18799699260486 1.57998875662641e-08 1.57998875936239e-08
5e-05 1.78810559170735e-23 1.43041668118544e-22 1.99198462507694e-22 1.1879955291055 1.57998866134039e-08 1.57998866407526e-08
5.00000049768664e-05 7.80691014660672e-14 6.77785511316808e-13 2.4884166395832e-06 1.18799564091667 1.74682858758635e-07 9.51555293127035e-08
5.0000008793628e-05 -7.0080675934238e-15 -1.21449696963819e-13 4.39679609075465e-06 1.18799567976771 2.23611693382298e-07 1.26256065270113e-07
5.00000146878316e-05 1.85710991460161e-14 1.11037390014324e-13 7.34389830991586e-06 1.18799568539924 2.14254329160204e-07 1.37173179021436e-07
5.0000020136016e-05 -6.54263593866706e-16 -6.92064507569408e-14 1.00679902077811e-05 1.18799569062665 2.07609649617872e-07 1.44110473019343e-07
5.0000024041931e-05 3.42136562505767e-15 -3.54277024359691e-14 1.20209478093216e-05 1.18799568364651 1.89502258144502e-07 1.4141447929785e-07
5.0000029566796e-05 -1.78380642424057e-15 -8.31119304516078e-14 1.47833802191562e-05 1.1879956699378 1.64169025026975e-07 1.34630706698156e-07
5.00000347200644e-05 -2.77542691157329e-15 -9.66859591589603e-14 1.73600144307042e-05 1.1879956500462 1.3687937240568e-07 1.24007825558376e-07
