time v(/en) v(/clk) v(/rstb) v(/word) v(/net066) v(/en_out) v(/W0) v(/W1) v(/W2) v(/W3) v(/W4) v(/W5) v(/W6) v(/W7)
0.0 2.5 2.80324752304313e-22 2.80324752304313e-22 3.50405940381082e-23 1.86656227868012e-08 1.86656227764673e-08 2.21073656357451e-08 2.21073656642697e-08 2.2107365588191e-08 2.21073655741506e-08 2.21073655737169e-08 2.21073656315454e-08 2.21073655995074e-08 2.21073655851824e-08
1.1e-07 2.5 3.64291513088232e-22 4.41359440178615e-18 4.2017011143352e-23 1.86659792831686e-08 1.86659792477045e-08 2.21077220166656e-08 2.21077220451905e-08 2.21077219691108e-08 2.21077219550704e-08 2.21077219546367e-08 2.21077220124663e-08 2.21077219804272e-08 2.21077219661022e-08
3.3e-07 2.5 2.72619696922803e-22 4.26246112893752e-18 3.43302894290417e-23 1.86659673400507e-08 1.866596733074e-08 2.21077101150307e-08 2.21077101435552e-08 2.21077100674812e-08 2.21077100534518e-08 2.21077100530181e-08 2.2107710110831e-08 2.21077100787975e-08 2.21077100644725e-08
7.7e-07 2.5 2.7304409963048e-22 3.96825125175584e-18 3.43730908187683e-23 1.8665943715012e-08 1.86659437056854e-08 2.21076864900487e-08 2.21076865185842e-08 2.21076864424854e-08 2.2107686428434e-08 2.21076864280003e-08 2.2107686485849e-08 2.21076864538017e-08 2.21076864394767e-08
1.65e-06 2.5 2.7409714563058e-22 3.4387813168413e-18 3.4472112827599e-23 1.86659012482774e-08 1.86659012388066e-08 2.2107644023109e-08 2.21076440516224e-08 2.21076439755757e-08 2.21076439615462e-08 2.2107643961107e-08 2.21076440189148e-08 2.21076439868865e-08 2.2107643972567e-08
3.41e-06 2.5 2.75680745597466e-22 2.57876785035553e-18 3.46103881649383e-23 1.86658324296448e-08 1.8665832420056e-08 2.21075752044499e-08 2.21075752329859e-08 2.2107575156879e-08 2.21075751428276e-08 2.21075751423994e-08 2.21075752002447e-08 2.21075751681981e-08 2.21075751538704e-08
5e-06 2.5 2.76748983354358e-22 1.98928251480883e-18 3.47131659763642e-23 1.86657854079824e-08 1.86657853982313e-08 2.21075281825764e-08 2.21075282110846e-08 2.21075281350407e-08 2.21075281210113e-08 2.21075281205721e-08 2.21075281783822e-08 2.2107528146357e-08 2.2107528132032e-08
5.00000031417476e-06 2.50000000002411 1.57068568224814e-05 1.57143133906226e-06 6.09326064030162e-11 3.767497475813e-06 1.83941050433502e-06 1.60262202233496e-06 1.6023628965401e-06 1.60241262590634e-06 1.60245640352395e-06 1.60249136470313e-06 1.60251753072276e-06 1.60253464652673e-06 1.59245281711113e-06
5.00000055975101e-06 2.5000000000184 2.79854803686321e-05 2.79911725930024e-06 4.6364218887018e-11 6.34884850970622e-06 3.10453034550872e-06 2.69934802461061e-06 2.69888826121247e-06 2.69891729840535e-06 2.69894548442508e-06 2.69896819560602e-06 2.69898529948908e-06 2.69899624220874e-06 2.68209890841387e-06
5.00000069816407e-06 2.50000000001578 3.49061037570402e-05 3.4910420204668e-06 3.96825615602114e-11 7.51700121631177e-06 3.68776568424079e-06 3.20355375028262e-06 3.20303626618943e-06 3.2030499716734e-06 3.20306538513549e-06 3.20307771016413e-06 3.20308692777854e-06 3.20309248812788e-06 3.18323436677985e-06
5.00000082321564e-06 2.50000000001388 4.11586025023691e-05 4.11624497634317e-06 3.48298942568775e-11 8.43176158927018e-06 4.15108352988749e-06 3.60323991869815e-06 3.60270861760102e-06 3.6027172614745e-06 3.60272864351252e-06 3.60273785220984e-06 3.60274479450554e-06 3.60274880792689e-06 3.58064923082819e-06
5.00000099651655e-06 2.50000000001146 4.9823611980673e-05 4.98263200100333e-06 2.86486170201532e-11 9.51311057593166e-06 4.70874694994933e-06 4.08310290919404e-06 4.08258514324558e-06 4.0825819326254e-06 4.08258303241958e-06 4.08258393701196e-06 4.08258461154191e-06 4.0825843646021e-06 4.05794873545962e-06
5.00000120824174e-06 2.5000000000093 6.04097924962603e-05 6.04118228453833e-06 2.31425932534952e-11 1.05930622431065e-05 5.28084836094261e-06 4.57358601494182e-06 4.57314223503801e-06 4.57313264076407e-06 4.57312778239108e-06 4.57312395903412e-06 4.57312111207458e-06 4.57311847255584e-06 4.54612393104851e-06
5.0000014669523e-06 2.50000000000706 7.33452845493818e-05 7.33463167287583e-06 1.74433879328867e-11 1.16302462815267e-05 5.85188629566317e-06 5.06074668164216e-06 5.06044816183918e-06 5.06042972351735e-06 5.06041613320584e-06 5.06040527637359e-06 5.0603971370726e-06 5.06039092103923e-06 5.03137548189378e-06
5.00000177449692e-06 2.50000000000537 8.87224515563762e-05 8.87229351891655e-06 1.31151790584123e-11 1.25628144491945e-05 6.3944436317374e-06 5.52058171537352e-06 5.52052195241838e-06 5.52050023524385e-06 5.52048199476551e-06 5.52046741922956e-06 5.52045649912504e-06 5.52044841040049e-06 5.48994418144649e-06
5.00000214747955e-06 2.50000000000376 0.000107371559662868 1.07371319181095e-05 9.00028496511558e-12 1.33871446478893e-05 6.91305792956485e-06 5.95650135132277e-06 5.95678806411422e-06 5.9567625366291e-06 5.95673834261995e-06 5.95671896370603e-06 5.95670443514036e-06 5.95669393986666e-06 5.92530832972148e-06
5.00000260517993e-06 2.50000000000274 0.000130256533672407 1.30255980167914e-05 6.4059638393135e-12 1.40996553541362e-05 7.41310650877801e-06 6.37271981986248e-06 6.37348970477933e-06 6.37346582171187e-06 6.37343938018116e-06 6.37341817780138e-06 6.37340228121357e-06 6.37339089959911e-06 6.34181333952894e-06
5.00000318060029e-06 2.50000000000183 0.000159027543460092 1.59026551340584e-05 4.05714268364075e-12 1.47181955589958e-05 7.91445680050174e-06 6.78594066706064e-06 6.78735720531899e-06 6.78733537779344e-06 6.78730596704823e-06 6.78728234532016e-06 6.78726463392882e-06 6.78725209822376e-06 6.75623393322856e-06
5.00000392445659e-06 2.50000000000146 0.000196220330862214 1.96219258894303e-05 3.10577123506219e-12 1.527755507332e-05 8.45042196730271e-06 7.22467392172968e-06 7.22695040408095e-06 7.22693592915329e-06 7.2269068388881e-06 7.22688342768135e-06 7.22686586951354e-06 7.22685351807659e-06 7.19720861272613e-06
5.00000492760262e-06 2.50000000000108 0.000246377635578526 2.4637634005358e-05 2.11829445904744e-12 1.58384121493679e-05 9.07881402023481e-06 7.73908624918944e-06 7.74250409130104e-06 7.74249769208896e-06 7.74246821984937e-06 7.74244445434287e-06 7.74242663295662e-06 7.7424142277394e-06 7.71505242522733e-06
