Measurement report of dcv_sheet,,,,,
Generated by DesCoVer 2.6.0,,,,,
Date,2016-10-24 08:27:03 -0500,Author,b48923,,
,,,,,
,,,,,
Testbench: LIB: esd_sm8mvLib - CELL: RB_SOA_tests - VIEW: schematic_no_buck - Mon Oct 24 08:27:09 CDT 2016,,,,,
,,,,,
,,,,,
stress,time,vboost,vclamp9,vref1p0_bg1,v2p5a
-100,0,-4.10216E-087,-7.96875E-077,3.44387E-082,2.3276E-082
-100,4.98555E-012,4.88756E-007,3.39185E-007,2.75856E-007,0.000000373
-100,1.05084E-011,1.35391E-006,8.82488E-007,6.55409E-007,9.95172E-007
-100,2.1554E-011,3.5683E-006,2.18129E-006,1.43912E-006,2.51768E-006
-100,4.36453E-011,1.02474E-005,5.70605E-006,2.91635E-006,6.70722E-006
-100,5.07428E-011,1.29217E-005,7.05188E-006,3.34446E-006,8.29128E-006
-100,6.49379E-011,1.88973E-005,1.00016E-005,4.16234E-006,1.16895E-005
-100,9.33282E-011,3.29214E-005,1.66899E-005,5.63408E-006,1.90418E-005
-100,1.50109E-010,6.68989E-005,3.20681E-005,8.09492E-006,3.41517E-005
-100,2.31451E-010,0.000123917,5.61873E-005,1.08282E-005,5.30431E-005
-100,3.30261E-010,0.000199686,8.58435E-005,1.32892E-005,6.81699E-005
-100,4.40904E-010,0.000288383,0.000117803,1.52445E-005,7.44257E-005
-100,5.48714E-010,0.000377187,0.000147466,1.65789E-005,7.16532E-005
-100,6.64637E-010,0.00047528,0.000178318,0.000017637,6.22702E-005
-100,7.94712E-010,0.000589189,0.000212676,1.86376E-005,4.80009E-005
-100,0.000000001,0.000737399,0.000256514,0.00001994,3.01027E-005
-100,1.17447E-009,0.000946694,0.000318721,2.21292E-005,1.21328E-005
-100,1.4242E-009,0.00119666,0.000394586,2.52926E-005,2.35208E-006
-100,1.64119E-009,0.00141766,0.000462908,2.83784E-005,7.95273E-007
-100,1.86841E-009,0.00164878,0.000534767,0.000031623,1.65117E-006
-100,2.13244E-009,0.00191476,0.000617217,3.52095E-005,1.97358E-006
-100,2.55674E-009,0.00233808,0.000746988,4.05509E-005,-5.30493E-007
-100,0.000000003,0.00274706,0.000871121,4.55516E-005,-0.0000033
-100,3.40849E-009,0.00318808,0.00100474,5.10047E-005,-3.2323E-006
-100,0.000000004,0.003776,0.00118276,0.000058233,-4.28885E-007
-100,4.79989E-009,0.00458232,0.00142562,6.76512E-005,1.23956E-006
-100,5.76053E-009,0.00554416,0.0017126,7.81925E-005,1.28065E-007
-100,7.07951E-009,0.00686658,0.00210369,9.20267E-005,-8.28476E-009
-100,9.35297E-009,0.0091481,0.00276939,0.000114295,7.64608E-007
-100,1.22585E-008,0.012068,0.00360582,0.000140291,0.00000072
-100,1.57705E-008,0.0156039,0.00459762,0.000168808,1.3368E-006
-100,0.00000002,0.0198628,0.00576426,0.000199637,1.60823E-006
-100,2.5331E-008,0.0252634,0.00720473,0.000234198,2.26751E-006
-100,3.22587E-008,0.0322931,0.00902249,0.000272983,2.82633E-006
-100,4.17969E-008,0.0420127,0.0114457,0.000317642,3.78913E-006
-100,5.4638E-008,0.0551697,0.0145907,0.000365463,0.000004805
