# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S12[dB]	Trc3_S21[dB]	Trc4_S22[dB]	
1.500000000000000E+005	-4.278959754976629E-001	-8.594785900694080E+001	-8.844300985018298E+001	-1.782703816728120E+000	
4.157715430861724E+006	-4.453895945848450E-001	-5.854936091557618E+001	-5.863216457108072E+001	-1.812079889380702E+000	
8.165430861723447E+006	-4.498149084921074E-001	-5.289842181389851E+001	-5.286070870816035E+001	-1.813090160801961E+000	
1.217314629258517E+007	-4.469378638613307E-001	-4.941237314542688E+001	-4.926221383797196E+001	-1.814871439871127E+000	
1.618086172344689E+007	-4.444822023550729E-001	-4.687078055248648E+001	-4.687220104452691E+001	-1.816724380440705E+000	
2.018857715430862E+007	-4.379753269006032E-001	-4.490199734509142E+001	-4.485499682739847E+001	-1.815856258091881E+000	
2.419629258517034E+007	-4.418394139718727E-001	-4.026673847147400E+001	-4.026238840373876E+001	-1.775145853200526E+000	
2.820400801603207E+007	-4.278650064687701E-001	-4.222554227267107E+001	-4.219744184662398E+001	-1.807840712314527E+000	
3.221172344689379E+007	-4.250733780390055E-001	-4.107676010405354E+001	-4.104216332394264E+001	-1.814304109378228E+000	
3.621943887775552E+007	-4.203737659872829E-001	-4.007934805933379E+001	-4.005670514658720E+001	-1.822366926115848E+000	
4.022715430861723E+007	-4.142629994170240E-001	-3.920165237684909E+001	-3.909035947412704E+001	-1.831221392497333E+000	
4.423486973947896E+007	-4.071449172631523E-001	-3.836614186207462E+001	-3.824960771020013E+001	-1.836830576459095E+000	
4.824258517034069E+007	-3.986527002592553E-001	-3.758731891502614E+001	-3.747078881358016E+001	-1.839921637155861E+000	
5.225030060120241E+007	-3.910279304051577E-001	-3.691125476392048E+001	-3.675532185356970E+001	-1.843628877736341E+000	
5.625801603206413E+007	-3.830614603733324E-001	-3.647238524648255E+001	-3.628963183019221E+001	-1.844716358088757E+000	
6.026573146292585E+007	-3.723888297533148E-001	-3.602556013480687E+001	-3.581518538735379E+001	-1.844480298964013E+000	
6.427344689378758E+007	-3.627938399662513E-001	-3.531135642576972E+001	-3.508614611232078E+001	-1.847655045345535E+000	
6.828116232464930E+007	-3.530080975195470E-001	-3.475070557215394E+001	-3.449129750062463E+001	-1.853023226677694E+000	
7.228887775551103E+007	-3.436905356670104E-001	-3.424366936896135E+001	-3.395697931293488E+001	-1.858141947920108E+000	
7.629659318637274E+007	-3.355747555429270E-001	-3.377396633635377E+001	-3.344742730485086E+001	-1.865113316754637E+000	
8.030430861723447E+007	-3.261549152842414E-001	-3.331256888403537E+001	-3.296981217178777E+001	-1.871578527873036E+000	
8.431202404809620E+007	-3.151301003704060E-001	-3.293066426968504E+001	-3.256569030170632E+001	-1.877193225031701E+000	
8.831973947895792E+007	-3.036094718537885E-001	-3.252599376769695E+001	-3.214071028840299E+001	-1.883823123833760E+000	
9.232745490981965E+007	-2.909851027510325E-001	-3.208495219559737E+001	-3.168652826826651E+001	-1.889520999769243E+000	
9.633517034068137E+007	-2.791117923348984E-001	-3.167440922911705E+001	-3.125386657501013E+001	-1.897603025900338E+000	
1.003428857715431E+008	-2.715396153952287E-001	-3.121021337056321E+001	-3.077475611102930E+001	-1.904279718846688E+000	
1.043506012024048E+008	-2.660218501380851E-001	-3.068000306305049E+001	-3.020922010179098E+001	-1.909342935983717E+000	
1.083583166332665E+008	-2.685942857300809E-001	-2.987027425655531E+001	-2.937969707797725E+001	-1.909276611448152E+000	
1.123660320641283E+008	-2.444785515868762E-001	-2.929964739312738E+001	-2.879778175601031E+001	-1.901255512059931E+000	
1.163737474949900E+008	-2.182323511070650E-001	-2.904737135168555E+001	-2.849709527358337E+001	-1.905963299989874E+000	
1.203814629258517E+008	-1.980795660464484E-001	-2.877590587848042E+001	-2.818306022863502E+001	-1.915754498167355E+000	
1.243891783567134E+008	-1.911711776390705E-001	-2.847764519537359E+001	-2.783175697481484E+001	-1.929910807017375E+000	
1.283968937875752E+008	-2.043190385307687E-001	-2.817972606368097E+001	-2.748486041352503E+001	-1.948541605058384E+000	
