Time	V(t)	I(t)
-2.00E-08	1.15E-02	-2.03E-03
-1.96E-08	3.88E-03	2.51E-03
-1.92E-08	8.25E-03	3.17E-03
-1.88E-08	7.78E-03	2.21E-03
-1.84E-08	3.34E-03	-1.61E-03
-1.80E-08	5.22E-03	4.10E-03
-1.76E-08	2.02E-02	1.04E-03
-1.72E-08	6.50E-03	3.88E-03
-1.68E-08	5.03E-03	-1.64E-04
-1.64E-08	2.01E-02	2.16E-03
-1.60E-08	7.06E-03	8.67E-04
-1.56E-08	8.63E-03	2.24E-03
-1.52E-08	1.18E-02	4.06E-03
-1.48E-08	3.53E-03	2.77E-03
-1.44E-08	-2.81E-04	9.77E-04
-1.40E-08	-3.63E-03	8.98E-04
-1.36E-08	8.13E-03	-1.02E-03
-1.32E-08	4.00E-03	1.14E-03
-1.28E-08	1.53E-02	2.03E-03
-1.24E-08	1.63E-02	1.17E-04
-1.20E-08	1.22E-02	-2.02E-03
-1.16E-08	8.19E-03	8.98E-04
-1.12E-08	3.94E-03	3.06E-03
-1.08E-08	8.03E-03	7.81E-06
-1.04E-08	7.81E-03	2.98E-03
-1.00E-08	2.40E-02	2.03E-04
-9.60E-09	8.09E-03	-3.25E-03
-9.20E-09	1.98E-02	5.02E-03
-8.80E-09	2.40E-02	-3.00E-03
-8.40E-09	1.61E-02	-7.81E-05
-8.00E-09	-3.97E-03	-1.00E-03
-7.60E-09	8.00E-03	1.00E-03
-7.20E-09	0.00E+00	1.56E-05
-6.80E-09	1.63E-02	2.01E-03
-6.40E-09	1.58E-02	1.00E-03
-6.00E-09	3.84E-03	2.00E-03
-5.60E-09	3.84E-03	0.00E+00
-5.20E-09	-4.00E-03	-7.81E-06
-4.80E-09	8.16E-03	-7.81E-06
-4.40E-09	1.19E-02	1.02E-03
-4.00E-09	7.97E-03	-1.56E-05
-3.60E-09	8.00E-03	1.98E-03
-3.20E-09	8.03E-03	3.13E-05
-2.80E-09	-4.06E-03	-1.01E-03
-2.40E-09	6.25E-05	-7.03E-05
-2.00E-09	3.91E-03	1.98E-03
-1.60E-09	8.03E-03	1.04E-03
-1.20E-09	2.50E-04	9.69E-04
-8.00E-10	-2.50E-04	9.30E-04
-4.00E-10	1.53E-02	3.62E-03
0.00E+00	1.68E-02	1.29E-02
4.00E-10	0.00E+00	3.18E-02
8.00E-10	1.83E-02	4.13E-02
1.20E-09	2.25E-02	5.02E-02
1.60E-09	1.07E-02	6.16E-02
2.00E-09	5.68E-02	6.58E-02
2.40E-09	2.36E-01	6.98E-02
2.80E-09	5.06E-01	7.48E-02
3.20E-09	6.48E-01	7.70E-02
3.60E-09	6.96E-01	7.60E-02
4.00E-09	7.32E-01	7.80E-02
4.40E-09	7.68E-01	7.41E-02
4.80E-09	8.56E-01	7.10E-02
5.20E-09	9.08E-01	7.20E-02
5.60E-09	9.01E-01	7.20E-02
6.00E-09	9.49E-01	7.40E-02
6.40E-09	9.71E-01	7.20E-02
6.80E-09	9.47E-01	6.90E-02
7.20E-09	9.21E-01	6.90E-02
7.60E-09	8.45E-01	6.80E-02
8.00E-09	7.32E-01	6.90E-02
8.40E-09	5.42E-01	7.00E-02
8.80E-09	3.21E-01	7.30E-02
9.20E-09	1.62E-01	7.69E-02
9.60E-09	5.51E-02	8.20E-02
1.00E-08	-2.93E-02	8.68E-02
1.04E-08	-1.17E-01	9.48E-02
1.08E-08	-2.16E-01	9.58E-02
1.12E-08	-2.92E-01	1.04E-01
1.16E-08	-3.35E-01	1.12E-01
1.20E-08	-3.70E-01	1.14E-01
1.24E-08	-4.12E-01	1.21E-01
1.28E-08	-3.89E-01	1.27E-01
1.32E-08	-4.02E-01	1.31E-01
1.36E-08	-4.24E-01	1.34E-01
