# Version 1.00
#
freq[Hz]	Trc4_S21[dB]	Trc7_S21[°]	
3.000000000000000E+005	-8.072619638973787E+001	9.332338679425325E+001	
3.057649250013903E+005	-8.003987965508516E+001	8.188465597316910E+001	
3.116406312036861E+005	-8.023133361758140E+001	8.142453614852563E+001	
3.176292474246033E+005	-7.888119176865938E+001	8.215767424780816E+001	
3.237329433901063E+005	-8.215575634425417E+001	8.400943069584061E+001	
3.299539305205172E+005	-7.854095715729072E+001	8.420536517416755E+001	
3.362944627317330E+005	-8.055853220411420E+001	7.641846321903735E+001	
3.427568372518373E+005	-7.966347234889636E+001	8.588140724063732E+001	
3.493433954534059E+005	-8.014605101973015E+001	8.886035613798219E+001	
3.560565237018056E+005	-7.886289459156046E+001	8.364227609565778E+001	
3.628986542197944E+005	-7.925461103307451E+001	8.619022290455060E+001	
3.698722659687363E+005	-7.826890200209905E+001	8.368225539313464E+001	
3.769798855467498E+005	-7.903157251811659E+001	9.143670033004426E+001	
3.842240881041155E+005	-7.759049247097978E+001	8.189425801934848E+001	
3.916074982762748E+005	-7.819125232436873E+001	7.705979265479488E+001	
3.991327911347575E+005	-7.831463743038015E+001	8.880858549831488E+001	
4.068026931563823E+005	-7.892389912881683E+001	7.970074234202677E+001	
4.146199832110827E+005	-7.825974375595371E+001	7.793480361431180E+001	
4.225874935687147E+005	-7.683648877163536E+001	8.427281700697445E+001	
4.307081109252118E+005	-7.749823830194728E+001	8.150835633451042E+001	
4.389847774484595E+005	-7.722570416340557E+001	8.171233894461577E+001	
4.474204918442674E+005	-7.702268260934353E+001	7.924753744576626E+001	
4.560183104428253E+005	-7.676540956089546E+001	8.055205460842501E+001	
4.647813483060373E+005	-7.645972410082811E+001	7.827519075698486E+001	
4.737127803561351E+005	-7.735275112626985E+001	8.730286742987607E+001	
4.828158425259790E+005	-7.613018644191322E+001	7.819887950587207E+001	
4.920938329314634E+005	-7.657423216498398E+001	8.727980628106943E+001	
5.015501130664520E+005	-7.610962930405438E+001	8.562463952173172E+001	
5.111881090206750E+005	-7.671522548017038E+001	8.439290929972312E+001	
5.210113127210307E+005	-7.598350375361936E+001	8.304837552511191E+001	
5.310232831967395E+005	-7.614767819027698E+001	8.413131787206352E+001	
5.412276478688102E+005	-7.487409907317671E+001	8.211426826802345E+001	
5.516281038642854E+005	-7.537745574708009E+001	8.881579857302113E+001	
5.622284193557411E+005	-7.551248922095104E+001	8.680994908983304E+001	
5.730324349265279E+005	-7.536740434657050E+001	8.556144075059331E+001	
5.840440649622462E+005	-7.511646532591675E+001	8.231210800609510E+001	
5.952672990689611E+005	-7.434831923790175E+001	8.765246669375124E+001	
6.067062035186702E+005	-7.446260306284859E+001	8.247565006516193E+001	
6.183649227225480E+005	-7.403082663113081E+001	8.120154990081591E+001	
6.302476807325013E+005	-7.416827053190299E+001	8.597925582657342E+001	
