Time	2kV
-100.0E-9	-0.101617
-99.9E-9	-0.128893
-99.8E-9	-0.174814
-99.7E-9	0.117975
-99.6E-9	-0.104034
-99.5E-9	-0.222116
-99.4E-9	0.0862104
-99.3E-9	0.00783404
-99.2E-9	-0.145466
-99.1E-9	-0.0194423
-99.0E-9	0.09208
-98.9E-9	0.04098
-98.8E-9	-0.0277288
-98.7E-9	-0.147538
-98.6E-9	0.0212996
-98.5E-9	-0.0180612
-98.4E-9	0.121083
-98.3E-9	0.178743
-98.2E-9	-0.0715781
-98.1E-9	0.0806861
-98.0E-9	-0.0056315
-97.9E-9	-0.0691612
-97.8E-9	0.150431
-97.7E-9	-0.0480997
-97.6E-9	0.154574
-97.5E-9	-0.0329078
-97.4E-9	-0.223497
-97.3E-9	0.0827577
-97.2E-9	-0.139251
-97.1E-9	-0.268727
-97.0E-9	0.0313124
-96.9E-9	0.0188827
-96.8E-9	-0.500404
-96.7E-9	-0.148919
-96.6E-9	0.104164
-96.5E-9	0.00541715
-96.4E-9	-0.139251
-96.3E-9	-0.214865
-96.2E-9	0.0941516
-96.1E-9	-0.0363606
-96.0E-9	-0.201054
-95.9E-9	-0.0208234
-95.8E-9	-0.0505166
-95.7E-9	-0.112665
-95.6E-9	-0.0764119
-95.5E-9	-0.132
-95.4E-9	-0.199328
-95.3E-9	0.0036908
-95.2E-9	0.0254428
-95.1E-9	0.0140489
-95.0E-9	-0.0916038
-94.9E-9	-0.161003
-94.8E-9	0.0872462
-94.7E-9	-0.0294551
-94.6E-9	-0.0494808
-94.5E-9	0.115213
-94.4E-9	-0.307052
-94.3E-9	-0.178267
-94.2E-9	-0.0781383
-94.1E-9	0.0195732
-94.0E-9	-0.0802099
-93.9E-9	-0.0677801
-93.8E-9	0.0330388
-93.7E-9	-0.293242
-93.6E-9	-0.156169
-93.5E-9	-0.00977474
-93.4E-9	0.0175016
-93.3E-9	0.0440874
-93.2E-9	-0.172742
-93.1E-9	-0.128548
-93.0E-9	-0.11888
-92.9E-9	-0.206924
-92.8E-9	0.00541715
-92.7E-9	0.0240617
-92.6E-9	0.0112867
-92.5E-9	0.0813766
-92.4E-9	-0.0853889
-92.3E-9	-0.0322173
-92.2E-9	0.0996759
-92.1E-9	0.0509928
-92.0E-9	-0.0629464
-91.9E-9	0.101402
-91.8E-9	0.0989854
-91.7E-9	-0.199328
-91.6E-9	0.260227
-91.5E-9	0.110379
-91.4E-9	-0.155824
-91.3E-9	-0.153062
-91.2E-9	-0.0643274
-91.1E-9	0.0344199
-91.0E-9	0.0123226
