time v(/Ch1)
0.0 1.88986300821762e-10
1e-10 1.88986300821762e-10
2e-10 1.88986300821762e-10
7e-10 1.88986300821914e-10
1.2e-09 1.88986300821938e-10
3.7e-09 1.88986300821973e-10
1e-08 1.88977703266853e-10
1.0008e-08 1.88977692173233e-10
1.00086416288869e-08 1.88977691283485e-10
1.00092832577739e-08 1.88977690393737e-10
1.00112849585129e-08 1.88977687617973e-10
1.00130202425582e-08 1.88977685211651e-10
1.00154271889375e-08 1.88977681873932e-10
1.00188601060656e-08 1.88977677113498e-10
1.0022344701818e-08 1.889776722814e-10
1.00263199762214e-08 1.88977666768878e-10
1.00306364859744e-08 1.88977660783163e-10
1.00354062798792e-08 1.88977654168878e-10
1.00405241946914e-08 1.88977647071853e-10
1.00459683610109e-08 1.88977639522415e-10
1.00517135914859e-08 1.88977631555489e-10
1.00577965483516e-08 1.88977623120238e-10
1.00642674892313e-08 1.88977614146969e-10
1.00711892817719e-08 1.88977604548502e-10
1.008e-08 1.88977592330658e-10
1.00807427050722e-08 1.88977591300747e-10
1.00814854101445e-08 1.88977590270836e-10
1.00851989355057e-08 1.88977585121281e-10
1.00889124608669e-08 1.88977579971727e-10
1.00946878221094e-08 1.88977571963019e-10
1.01032350846396e-08 1.88977559186203e-10
1.01124297925357e-08 1.88977543994458e-10
1.01223297368357e-08 1.88977528755167e-10
1.01325600430232e-08 1.88977513822567e-10
1.01432801054437e-08 1.88977498599463e-10
1.01544883355323e-08 1.88977482917105e-10
1.01662851709797e-08 1.88977466532866e-10
1.01787200057437e-08 1.88977449324072e-10
1.01918477991352e-08 1.88977431185971e-10
1.02056849980267e-08 1.88977412081082e-10
1.02202170017516e-08 1.88977392022565e-10
1.02353958781404e-08 1.88977371073555e-10
1.02511685444964e-08 1.88977365078963e-10
1.02675056472103e-08 1.88977414577258e-10
1.02844187924641e-08 1.88977455931669e-10
1.03019573868679e-08 1.88977466673245e-10
1.03201964073642e-08 1.88977463236489e-10
1.03392239667186e-08 1.88977454487636e-10
1.03591332945272e-08 1.88977444245579e-10
1.0380019098364e-08 1.88977433188094e-10
1.04019771167765e-08 1.88977421632068e-10
1.04251054642228e-08 1.88977409457884e-10
1.04495067834314e-08 1.88977395602255e-10
1.04752905944068e-08 1.88977381113298e-10
1.05025755950739e-08 1.88977366191931e-10
1.05314919252847e-08 1.88977350301553e-10
1.05621835581386e-08 1.88977329221361e-10
1.05948110484003e-08 1.88977319557207e-10
1.06295548819882e-08 1.88977325170187e-10
1.06666196923518e-08 1.88977315862714e-10
1.07062396506318e-08 1.88977300881576e-10
1.07497900762778e-08 1.88977284274399e-10
1.07965984178264e-08 1.88977266189637e-10
1.08472725211451e-08 1.88977246623049e-10
1.09020998600037e-08 1.8897722485704e-10
1.09617567659532e-08 1.88977204726482e-10
1.10269417148469e-08 1.88977185211417e-10
1.10986112130478e-08 1.88977159455105e-10
1.11779552003249e-08 1.88977131293532e-10
1.12665454551544e-08 1.88977099742333e-10
1.13664296454491e-08 1.88977065625486e-10
1.14802153525031e-08 1.88977025856655e-10
1.16107859887884e-08 1.88976980132917e-10
1.17599135229153e-08 1.88976928189631e-10
1.19258187845435e-08 1.88976872570744e-10
1.2109297630458e-08 1.88976839311417e-10
1.23039618854675e-08 1.8897681622359e-10
