time v(/Ch1)
0.0 9.43890699120331e-10
1e-10 9.43890699120331e-10
2e-10 9.43890699120331e-10
7e-10 9.43890699120317e-10
1.2e-09 9.43890699120318e-10
3.7e-09 9.4389069912037e-10
1e-08 9.43882171395839e-10
1.0008e-08 9.43882160392324e-10
1.00086829129801e-08 9.43882159453018e-10
1.00093658259603e-08 9.43882158513713e-10
1.00114379301062e-08 9.43882155663659e-10
1.00132751877186e-08 9.43882153136622e-10
1.00158228574412e-08 9.43882149632457e-10
1.00194482717773e-08 9.43882144645919e-10
1.00231241319115e-08 9.43882139589996e-10
1.00273292675718e-08 9.43882133806087e-10
1.0031901837165e-08 9.43882127516794e-10
1.00369487576129e-08 9.43882120575061e-10
1.00423521100809e-08 9.43882113143077e-10
1.00480976960792e-08 9.43882105240371e-10
1.00541747232043e-08 9.43882096881788e-10
1.00606348695007e-08 9.43882087996248e-10
1.00675387601278e-08 9.43882078500365e-10
1.00737693800639e-08 9.43882069930524e-10
1.008e-08 9.43882061360684e-10
1.00807949938518e-08 9.43882060267218e-10
1.00815899877035e-08 9.43882059173752e-10
1.00855649569623e-08 9.43882053706423e-10
1.00895399262211e-08 9.43882048239093e-10
1.00954988294062e-08 9.43882040042983e-10
1.01044090390689e-08 9.43882026538039e-10
1.01140367410338e-08 9.43882010893215e-10
1.01243641237754e-08 9.43881995317713e-10
1.01350621232178e-08 9.43881979937169e-10
1.01462900310572e-08 9.4388196419633e-10
1.01580641219104e-08 9.43881947900869e-10
1.01704886598372e-08 9.4388193080985e-10
1.01836175756115e-08 9.43881912801433e-10
1.01975012679031e-08 9.43881893781679e-10
1.021214455973e-08 9.43881873730995e-10
1.02275154831221e-08 9.43881852688228e-10
1.0243554422832e-08 9.43881830732578e-10
1.02602123510176e-08 9.43881859021025e-10
1.02774793828085e-08 9.43881914854529e-10
1.02953926064046e-08 9.43881937994346e-10
1.03140248085831e-08 9.43881937925694e-10
1.03334692346839e-08 9.4388193018659e-10
1.0353827872803e-08 9.43881920245554e-10
1.03752054650289e-08 9.4388190929564e-10
1.03977079019681e-08 9.43881897698517e-10
1.04214433333883e-08 9.43881885684967e-10
1.04465245428024e-08 9.43881871907686e-10
1.04730717116491e-08 9.43881857343382e-10
1.05012151587438e-08 9.43881842377046e-10
1.05310980219648e-08 9.43881826487552e-10
1.05628790686839e-08 9.4388180479065e-10
1.059673591681e-08 9.43881795076651e-10
1.06328689781248e-08 9.43881803969751e-10
1.06715064536067e-08 9.4388179203663e-10
1.07129107751844e-08 9.43881777190257e-10
1.07573870098436e-08 9.4388176091231e-10
1.08052939654331e-08 9.43881743083534e-10
1.08570590764138e-08 9.43881724005038e-10
1.09131986861218e-08 9.43881702523386e-10
1.09743461679996e-08 9.43881684152288e-10
1.10412914785852e-08 9.43881664284389e-10
1.11161146370879e-08 9.43881638472657e-10
1.11992130403352e-08 9.43881610262861e-10
1.12931925687152e-08 9.43881578490088e-10
1.1400362363956e-08 9.43881543733475e-10
1.15233486759504e-08 9.43881502356832e-10
1.16660385945287e-08 9.4388145491369e-10
1.18275641595097e-08 9.43881401504187e-10
1.2005540005128e-08 9.43881353255437e-10
1.21996191883492e-08 9.43881332235323e-10
1.24053919926466e-08 9.43881308230528e-10
1.26244361927738e-08 9.43881279157339e-10
1.28537973762384e-08 9.43881252060397e-10
1.31057514744403e-08 9.43881220225084e-10
1.33850260601792e-08 9.43881184760878e-10
1.36962644287591e-08 9.43881111691979e-10
