time v(/v0) v(/v1) v(/v2) v(/v3) v(/v4)
0.0 0.0 0.0 0.0 0.0 0.0
5e-10 0.0 0.0 0.0 0.0 0.0
1.5e-09 0.0 0.0 0.0 0.0 0.0
3.5e-09 0.0 0.0 0.0 0.0 0.0
5e-09 0.0 0.0 0.0 0.0 0.0
5.0004887152376e-09 0.0 2.95209900339184e-89 0.0 0.0 0.0
5.00083081590392e-09 0.0 9.83648294051779e-89 0.0 0.0 0.0
5.00151501723655e-09 0.0 5.5570782387328e-88 0.0 0.0 0.0
5.00288341990183e-09 0.0 1.44894604312283e-84 0.0 0.0 0.0
5.00461911469003e-09 0.0 7.36767168281441e-82 0.0 0.0 0.0
5.00809050426642e-09 0.0 3.81369543600158e-76 0.0 0.0 0.0
5.01503328341921e-09 0.0 5.25491596223235e-70 0.0 0.0 0.0
5.02539329816944e-09 0.0 5.02258838179212e-66 0.0 0.0 0.0
5.03848196193704e-09 0.0 2.6262526102033e-63 0.0 0.0 0.0
5.05429765313912e-09 0.0 5.01968408682421e-61 0.0 0.0 0.0
5.07283767282693e-09 0.0 4.91375930276947e-59 0.0 0.0 0.0
5.08641883641347e-09 0.0 2.84655200962085e-58 0.0 0.0 0.0
5.09320941820673e-09 0.0 5.91806164919063e-58 0.0 0.0 0.0
5.1e-09 0.0 1.22405790546672e-57 0.0 0.0 0.0
5.10083416666667e-09 0.0 1.33818229296585e-57 0.0 0.0 0.0
5.1025025e-09 0.0 1.58747983038269e-57 0.0 0.0 0.0
5.10583916666667e-09 0.0 2.23761846846215e-57 0.0 0.0 0.0
5.11251250000001e-09 0.0 4.51890496626213e-57 0.0 0.0 0.0
5.12585916666669e-09 0.0 2.17906477644564e-56 0.0 0.0 0.0
5.1499830120416e-09 0.0 1.07064550031538e-54 0.0 0.0 0.0
5.17356875549987e-09 0.0 1.43400004399057e-53 0.0 0.0 0.0
5.19792776230896e-09 0.0 1.45879061738666e-52 0.0 0.0 0.0
5.22152161495887e-09 0.0 1.00608948333874e-51 0.0 0.0 0.0
5.2461924181182e-09 0.0 6.49128025732788e-51 0.0 0.0 0.0
5.27302759431218e-09 0.0 4.34635715488863e-50 0.0 0.0 0.0
5.29923462988015e-09 0.0 2.28141266286158e-49 0.0 0.0 0.0
5.32637812862919e-09 0.0 1.12550150927272e-48 0.0 0.0 0.0
5.35441234694446e-09 0.0 5.21677158634025e-48 0.0 0.0 0.0
5.38238415411481e-09 0.0 2.14765307088544e-47 0.0 0.0 0.0
5.41154511483637e-09 0.0 8.6114592742349e-47 0.0 0.0 0.0
5.44057791421933e-09 0.0 3.12528365343948e-46 0.0 0.0 0.0
5.47079434557464e-09 0.0 1.11188459822555e-45 0.0 0.0 0.0
5.49960713282894e-09 0.0 3.4360122763315e-45 0.0 0.0 0.0
5.52974939017039e-09 0.0 1.0597189942807e-44 0.0 0.0 0.0
5.55885682674324e-09 0.0 2.95561832394804e-44 0.0 0.0 0.0
5.58853427280944e-09 0.0 8.02506977924941e-44 0.0 0.0 0.0
5.61824714274979e-09 0.0 2.08359741323532e-43 0.0 0.0 0.0
5.64783504115255e-09 0.0 5.16589102913578e-43 0.0 0.0 0.0
5.67824300033905e-09 0.0 1.26593579237727e-42 0.0 0.0 0.0
5.70802125168224e-09 0.0 2.93183890028852e-42 0.0 0.0 0.0
5.73903794352774e-09 0.0 6.81454103432469e-42 0.0 0.0 0.0
5.7691378184196e-09 0.0 1.49343362008896e-41 0.0 0.0 0.0
5.80064573333048e-09 0.0 3.30311662938937e-41 0.0 0.0 0.0
5.83115562500658e-09 0.0 6.91312673612609e-41 4.94065645841247e-324 0.0 0.0
5.86299655302938e-09 0.0 1.45772818215619e-40 2.32210853545386e-322 0.0 0.0
5.89393943184241e-09 0.0 2.93098430305188e-40 5.9040844678029e-321 0.0 0.0
5.9260204387573e-09 0.0 5.91234014243922e-40 1.24158696799905e-320 0.0 0.0
5.95744026277172e-09 0.0 1.14828618174749e-39 2.43771989658071e-320 0.0 0.0
5.98972868923531e-09 0.0 2.22530723127512e-39 7.99348808406553e-320 0.0 0.0
6.02164484959513e-09 0.0 4.19163418791918e-39 9.32593372433479e-319 0.0 0.0
6.0541311139264e-09 0.0 7.83588067846712e-39 2.15524379235873e-317 0.0 0.0
6.08661470599982e-09 0.0 1.43778979476142e-38 3.87637062917847e-316 0.0 0.0
