freq	Mag	Phase
4.0000E+01	595079.1375	-8.9504E+01
2.9895E+05	108.2687514	-1.1063E+02
5.9787E+05	43.43605618	-9.1335E+01
8.9678E+05	28.26857529	-8.8772E+01
1.1957E+06	21.25178581	-8.8693E+01
1.4946E+06	16.99912234	-8.8614E+01
1.7935E+06	14.16296076	-8.8552E+01
2.0924E+06	12.10832466	-8.8486E+01
2.3913E+06	10.56514569	-8.8418E+01
2.6903E+06	9.347757196	-8.8355E+01
2.9892E+06	8.369855807	-8.8244E+01
3.2881E+06	7.562681676	-8.8184E+01
3.5870E+06	6.882831308	-8.8065E+01
3.8859E+06	6.303367075	-8.7984E+01
4.1848E+06	5.802035354	-8.7885E+01
4.4837E+06	5.366226036	-8.7786E+01
4.7826E+06	4.975092253	-8.7677E+01
5.0816E+06	5.258822587	-6.9672E+01
5.3805E+06	4.965813544	-6.8621E+01
5.6794E+06	4.705047463	-6.7566E+01
5.9783E+06	4.467041405	-6.6536E+01
6.2772E+06	4.253562124	-6.5475E+01
6.5761E+06	4.054313319	-6.4332E+01
6.8750E+06	3.873674503	-6.3293E+01
7.1740E+06	3.712059204	-6.2277E+01
7.4729E+06	3.554142422	-6.1176E+01
7.7718E+06	3.416875333	-6.0077E+01
8.0707E+06	3.283227338	-5.9088E+01
8.3696E+06	3.159060961	-5.7984E+01
8.6685E+06	3.045031086	-5.6952E+01
8.9674E+06	2.936505298	-5.5873E+01
9.2663E+06	2.834241937	-5.4845E+01
9.5653E+06	2.739909962	-5.3772E+01
9.8642E+06	2.646695592	-5.2738E+01
1.0163E+07	2.56541319	-5.1744E+01
1.0462E+07	2.485665014	-5.0693E+01
1.0761E+07	2.40753678	-4.9594E+01
1.1060E+07	2.332578135	-4.8578E+01
1.1359E+07	2.267152807	-4.7452E+01
1.1658E+07	2.202873726	-4.6370E+01
1.1957E+07	2.139510671	-4.5364E+01
1.2255E+07	2.081569125	-4.4279E+01
1.2554E+07	2.020458029	-4.3112E+01
